SAPID,Instalacao,Transformador,N_Serie_LABELEC,Data Colheita,2FAL,Diagnostico_furanicos,H2,CH4,C2H2,C2H4,C2H6,CO,CO2,O2,N2,Diagnostico_AC,COR,Massa_Volumica,Tensao_Interfacial,Tensao_Disruptiva,Indice_Acidez,Teor_Agua,Tangente_Delta_90,Diagnostico_FQ,Recomendacoes
280185852,SE MOGOFORES,TR 1,13158 C,2013-10-23,0.29,,4.8,2.7,9.4,5.3,1.0,61.8,1.33,29.6,72.3,,3.5,0.8613,18.3,91.6,0.108,15.1,0.03,,
280185852,SE MOGOFORES,TR 1,13158 C,2016-07-26,0.32,Sintomas de degradação muito ligeira do papel.,4.0,3.0,32.0,8.0,2.0,78.0,1.44,25.9,61.5,Estado normal,3.5,0.8614,18.0,78.0,0.08,19.0,0.035,Valor de tensão interfacial não conforme,Nova colheita com periodicidade pré-estabelecida
280185852,SE MOGOFORES,TR 1,13158 C,2017-08-23,0.23,Sintomas de degradação muito ligeira do papel.,4.0,3.0,14.0,4.0,2.0,65.0,1.16,27.4,63.7,Estado normal,3.5,0.8614,18.0,54.0,0.08,15.0,0.038,Valor de tensão interfacial não conforme,Nova colheita com periodicidade pré-estabelecida
280185852,SE MOGOFORES,TR 1,13158 C,2018-08-10,0.25,Sintomas de degradação muito ligeira do papel.,3.0,2.0,12.0,6.0,2.0,52.0,1.0,27.1,69.8,Estado normal,3.5,0.8614,18.0,52.0,0.1,22.0,0.038,Valor tensão interfacial não adequado. Óleo com alguma degradação.,Nova colheita com periodicidade pré-estabelecida. Regeneração do óleo.
280185852,SE MOGOFORES,TR 1,13158 C,2019-04-17,0.22,Sintomas de degradação muito ligeira do papel.,5.0,3.0,19.0,15.0,2.0,46.0,1.25,29.7,66.7,Estado normal,3.5,0.8614,19.0,94.0,0.08,13.0,0.033,Valor de tensão interfacial não conforme,Nova colheita com periodicidade pré-estabelecida
280185852,SE MOGOFORES,TR 1,13158 C,2020-04-02,0.28,Sintomas de degradação muito ligeira do papel.,6.0,4.0,30.0,19.0,2.0,51.0,1.33,28.5,65.7,Estado normal,3.5,0.8614,19.0,76.0,0.11,11.0,0.034,Valor tensão interfacial não adequado. Óleo com alguma degradação.,Nova colheita com periodicidade pré-estabelecida. Regeneração do óleo.
280185853,SE MOGOFORES,TR 2,13156 C,1996-07-08,,,3.0,3.0,47.0,26.0,3.0,53.0,1.3,25.0,64.6,,3.5,0.861,22.1,54.6,0.052,19.7,0.028,,
280185853,SE MOGOFORES,TR 2,13156 C,1997-04-02,,,2.0,2.0,42.0,25.0,3.0,31.0,1.3,27.2,61.4,,3.5,0.86,22.4,63.6,0.039,18.5,0.041,,
280185853,SE MOGOFORES,TR 2,13156 C,1998-06-17,0.1,,1.9,2.3,29.0,19.0,2.5,56.0,1.4,25.0,73.0,,3.5,0.86,20.4,68.9,0.052,18.0,0.029,,
280185853,SE MOGOFORES,TR 2,13156 C,1999-09-28,0.12,,2.5,2.2,23.0,15.0,2.1,33.0,1.28,29.0,75.0,,3.5,0.86,20.4,46.9,0.051,20.0,0.04,,
280185853,SE MOGOFORES,TR 2,13156 C,2000-09-04,0.1,,2.9,2.7,30.0,15.0,2.4,56.0,1.33,25.0,62.0,,3.5,0.861,22.4,68.4,0.049,23.1,0.042,,
280185853,SE MOGOFORES,TR 2,13156 C,2001-11-14,0.05,,1.7,3.1,46.7,21.9,2.7,91.8,1.73,29.4,75.4,,3.5,0.86,19.8,73.7,0.05,17.2,0.038,,
280185853,SE MOGOFORES,TR 2,13156 C,2002-09-19,0.17,,3.4,2.9,47.8,29.0,2.7,79.8,1.61,23.7,65.4,,3.5,0.859,17.7,37.3,0.056,24.0,0.035,,
280185853,SE MOGOFORES,TR 2,13156 C,2003-06-24,0.15,,7.3,3.1,46.1,24.5,2.4,65.0,1.14,27.4,67.6,,3.5,0.862,19.2,57.0,0.051,26.7,0.048,,
280185853,SE MOGOFORES,TR 2,13156 C,2004-07-15,0.16,,11.3,2.8,32.4,21.9,1.5,65.0,1.33,28.7,75.8,,3.5,0.862,18.1,37.9,0.083,41.0,0.033,,
280185853,SE MOGOFORES,TR 2,13156 C,2005-05-30,0.18,,9.4,3.4,33.4,21.7,2.8,57.1,1.22,28.3,66.0,,3.5,0.8641,18.5,50.7,0.106,24.0,0.041,,
280185853,SE MOGOFORES,TR 2,13156 C,2006-02-22,0.29,,4.2,3.6,24.8,23.4,3.1,72.4,1.69,30.2,79.3,,3.5,0.8642,16.3,74.6,0.11,18.0,0.039,,
280185853,SE MOGOFORES,TR 2,13156 C,2007-06-05,0.18,,4.5,2.8,16.9,17.9,2.6,67.7,1.49,24.1,58.5,,3.5,0.8638,16.9,43.5,0.073,30.0,0.037,,
280185853,SE MOGOFORES,TR 2,13156 C,2008-03-10,0.05,,3.2,7.4,1.9,1.0,1.0,55.7,1.0,28.8,63.1,,0.5,0.8718,34.8,60.6,0.008,5.5,0.004,,
280185853,SE MOGOFORES,TR 2,13156 C,2009-03-10,0.05,,2.7,1.9,4.2,1.3,1.0,33.9,1.28,33.0,68.4,,0.5,0.8718,33.2,64.2,0.012,4.4,0.006,,
280185853,SE MOGOFORES,TR 2,13156 C,2010-01-14,0.05,,1.4,1.9,9.7,3.2,1.2,42.5,1.53,34.7,75.2,,0.5,0.8718,26.8,73.4,0.006,5.8,0.006,,
280185853,SE MOGOFORES,TR 2,13156 C,2011-06-16,0.05,,3.4,1.8,15.9,6.4,1.8,44.6,1.4,32.2,66.1,,0.5,0.8684,33.7,75.1,0.009,6.9,0.006,,
280185853,SE MOGOFORES,TR 2,13156 C,2012-09-26,0.05,,5.4,2.1,18.7,7.2,2.0,36.3,1.02,28.6,61.8,,0.5,0.8684,33.1,87.7,0.011,6.1,0.007,,
280185853,SE MOGOFORES,TR 2,13156 C,2013-10-23,0.05,,6.1,2.4,23.6,10.4,2.8,40.6,1.2,30.3,70.9,,0.5,0.8684,32.7,72.5,0.01,6.9,0.006,,
280185853,SE MOGOFORES,TR 2,13156 C,2016-07-26,0.05,Papel normal,2.0,2.0,40.0,17.0,5.0,23.0,1.0,27.7,58.5,Estado normal,0.5,0.8684,33.0,82.0,0.02,6.0,0.005,Conforme.,Nova colheita com periodicidade pré-estabelecida
280185853,SE MOGOFORES,TR 2,13156 C,2017-08-23,0.05,Papel normal,3.0,2.0,29.0,7.0,4.0,27.0,1.0,30.3,68.7,Estado normal,0.5,0.8684,32.0,83.0,0.02,8.0,0.005,Conforme.,Nova colheita com periodicidade pré-estabelecida
280185853,SE MOGOFORES,TR 2,13156 C,2018-08-10,0.05,Papel normal,2.0,2.0,29.0,7.0,4.0,17.0,1.0,30.0,68.6,Estado normal,0.5,0.8684,33.0,75.0,0.02,10.0,0.005,Conforme.,Nova colheita com periodicidade pré-estabelecida
280185853,SE MOGOFORES,TR 2,13156 C,2019-04-17,0.05,Papel normal,3.0,2.0,30.0,10.0,5.0,15.0,1.0,31.9,65.2,Estado normal,0.5,0.8684,33.0,81.0,0.02,3.0,0.005,Conforme.,Nova colheita com periodicidade pré-estabelecida
280185853,SE MOGOFORES,TR 2,13156 C,2020-04-02,0.05,Papel normal,4.0,3.0,40.0,13.0,6.0,17.0,1.0,30.8,66.1,Estado normal,0.5,0.8684,35.0,79.0,0.02,4.0,0.005,Conforme.,Nova colheita com periodicidade pré-estabelecida
280185854,SE TAVEIRO,TR 1,LEL 44038,1996-11-08,,,3.0,3.0,1.0,1.0,1.0,188.0,1.5,28.4,66.3,,0.5,0.848,45.0,81.1,0.005,4.7,0.005,,
280185854,SE TAVEIRO,TR 1,LEL 44038,1997-06-03,,,2.0,2.0,1.0,1.0,1.0,96.0,1.1,28.5,66.7,,0.5,0.847,38.0,86.6,0.005,4.1,0.005,,
280185854,SE TAVEIRO,TR 1,LEL 44038,2000-03-24,0.05,,30.0,16.0,1.0,6.3,83.0,278.0,2.96,5.8,86.0,,1.5,0.849,28.6,91.4,0.017,5.7,0.01,,
280185854,SE TAVEIRO,TR 1,LEL 44038,2001-07-06,0.07,,9.6,3.3,27.0,4.4,1.0,134.0,1.63,26.0,79.0,,3.0,0.859,23.4,31.9,0.027,33.4,0.019,,
280185854,SE TAVEIRO,TR 1,LEL 44038,2001-10-18,0.11,,29.0,12.0,6.3,123.0,56.0,3280.0,2.8,12.0,62.0,,2.5,0.849,20.3,75.6,0.043,8.1,0.019,,
280185854,SE TAVEIRO,TR 1,LEL 44038,2002-09-11,0.4,,23.4,6.4,1.9,42.9,26.8,420.5,4.3,22.2,94.3,,3.0,0.848,18.5,58.9,0.094,6.8,0.022,,
280185854,SE TAVEIRO,TR 1,LEL 44038,2003-06-18,0.67,,46.6,8.2,1.2,16.7,17.6,566.6,3.9,12.8,62.2,,3.5,0.849,18.6,83.0,0.096,11.9,0.027,,
280185854,SE TAVEIRO,TR 1,LEL 44038,2004-07-16,0.86,,13.5,3.7,1.0,6.5,5.7,242.4,3.44,24.4,76.0,,3.5,0.852,17.2,87.8,0.094,9.9,0.029,,
280185854,SE TAVEIRO,TR 1,LEL 44038,2005-04-15,1.0,,12.8,4.2,1.0,2.1,7.3,166.8,3.32,26.2,69.7,,3.5,0.854,17.1,73.4,0.16,21.8,0.034,,
280185854,SE TAVEIRO,TR 1,LEL 44038,2006-02-22,1.0,,11.1,4.4,1.0,3.1,6.0,188.1,3.59,31.7,75.1,,3.5,0.854,16.1,83.1,0.224,6.1,0.034,,
280185854,SE TAVEIRO,TR 1,LEL 44038,2007-01-26,0.82,,12.7,5.1,1.0,2.9,5.8,237.3,4.21,30.9,77.5,,3.5,0.854,15.4,44.6,0.116,5.6,0.035,,
280185854,SE TAVEIRO,TR 1,LEL 44038,2008-01-31,0.74,,6.3,2.9,1.0,1.4,3.4,94.4,2.48,30.4,71.3,,3.5,0.854,16.9,74.4,0.126,6.1,0.053,,
280185854,SE TAVEIRO,TR 1,LEL 44038,2009-03-13,0.67,,4.0,2.0,1.0,1.0,2.4,70.4,1.68,24.0,54.6,,3.5,0.854,15.6,84.2,0.179,7.4,0.05,,
280185854,SE TAVEIRO,TR 1,LEL 44038,2010-03-02,0.67,,4.2,2.6,1.0,1.0,2.7,80.2,2.02,32.4,68.2,,3.5,0.854,18.7,92.1,0.143,4.0,0.051,,
280185854,SE TAVEIRO,TR 1,LEL 44038,2011-03-03,0.58,,3.7,2.7,1.4,1.1,2.6,94.3,2.0,32.0,72.2,,3.5,0.8506,16.4,69.1,0.116,3.7,0.058,,
280185854,SE TAVEIRO,TR 1,LEL 44038,2012-09-21,0.77,,8.5,3.1,1.0,1.2,2.8,146.2,2.52,26.1,59.1,,3.5,0.8507,15.6,76.4,0.151,8.3,0.044,,
280185854,SE TAVEIRO,TR 1,LEL 44038,2013-10-24,0.67,,13.1,5.4,1.0,3.2,5.4,243.0,3.28,26.7,70.9,,3.5,0.8507,16.4,82.1,0.219,6.9,0.033,,
280185854,SE TAVEIRO,TR 1,LEL 44038,2016-09-19,0.08,Papel normal,3.0,3.0,1.0,1.0,1.0,99.0,1.59,34.0,75.8,Estado normal,1.5,0.8528,32.0,76.0,0.02,5.0,0.008,Conforme.,Nova colheita com periodicidade pré-estabelecida
280185854,SE TAVEIRO,TR 1,LEL 44038,2017-09-28,0.12,Papel normal,3.0,4.0,1.0,1.0,4.0,95.0,1.41,31.6,69.7,Estado normal,1.0,0.8528,33.0,97.0,0.02,6.0,0.007,Conforme.,Nova colheita com periodicidade pré-estabelecida
280185854,SE TAVEIRO,TR 1,LEL 44038,2018-10-22,0.12,Sintomas de degradação ligeira do papel antes da regeneração do óleo.,2.0,12.0,1.0,3.0,2.0,90.0,1.6,30.1,63.2,Estado normal,1.5,0.8528,33.0,79.0,0.02,6.0,0.009,Conforme.,Nova colheita com periodicidade pré-estabelecida
280185854,SE TAVEIRO,TR 1,LEL 44038,2019-08-29,0.11,Sintomas de degradação ligeira do papel antes da regeneração do óleo.,4.0,2.0,1.0,3.0,1.0,93.0,1.6,32.0,66.8,Estado normal,2.0,0.8527,32.0,80.0,0.02,4.0,0.009,Conforme.,Nova colheita com periodicidade pré-estabelecida
280185854,SE TAVEIRO,TR 1,LEL 44038,2020-08-12,0.11,Sintomas de degradação ligeira do papel antes da regeneração do óleo.,4.0,2.0,1.0,9.0,1.0,90.0,1.67,30.8,65.1,Estado normal,1.5,0.8528,33.0,97.0,0.02,4.0,0.011,Conforme.,Nova colheita com periodicidade pré-estabelecida
280185855,SE CANTANHEDE,TR 2,C 12931,1998-06-17,0.05,,3.5,3.4,12.0,3.1,6.3,67.0,1.5,27.0,72.0,,1.0,0.851,33.8,82.3,0.01,10.5,0.005,,
280185855,SE CANTANHEDE,TR 2,C 12931,1999-10-20,0.05,,2.8,3.2,27.0,8.5,5.6,57.0,1.64,30.0,74.0,,1.0,0.852,36.3,80.7,0.008,7.2,0.023,,
280185855,SE CANTANHEDE,TR 2,C 12931,2000-09-05,0.05,,6.7,3.7,28.0,21.0,7.4,79.0,1.42,24.0,58.0,,1.0,0.851,36.5,91.5,0.006,9.1,0.003,,
280185855,SE CANTANHEDE,TR 2,C 12931,2001-10-19,0.05,,10.0,4.3,18.0,48.0,17.0,63.0,1.2,30.0,66.0,,1.0,0.85,30.7,83.8,0.008,9.9,0.003,,
280185855,SE CANTANHEDE,TR 2,C 12931,2002-09-18,0.05,,1.0,3.2,9.1,59.2,14.4,42.9,1.0,28.6,79.6,,1.0,0.85,32.7,48.5,0.005,9.2,0.005,,
280185855,SE CANTANHEDE,TR 2,C 12931,2003-06-24,0.05,,6.6,6.2,12.1,127.1,30.9,72.6,1.26,30.3,66.1,,1.0,0.853,32.4,65.2,0.004,9.2,0.003,,
280185855,SE CANTANHEDE,TR 2,C 12931,2003-11-24,,,10.4,7.4,9.9,136.0,35.3,99.3,1.52,30.4,64.4,,,,,,,,,,
280185855,SE CANTANHEDE,TR 2,C 12931,2004-07-15,0.05,,11.0,5.9,7.4,123.3,39.2,100.3,1.73,31.7,79.4,,1.0,0.852,32.2,69.7,0.013,10.4,0.005,,
280185855,SE CANTANHEDE,TR 2,C 12931,2005-04-13,0.05,,13.7,8.4,5.4,152.4,51.7,60.1,1.45,34.6,73.6,,1.0,0.8546,30.6,57.8,0.014,7.7,0.004,,
280185855,SE CANTANHEDE,TR 2,C 12931,2006-02-21,0.05,,14.2,7.9,3.7,139.0,51.2,52.1,1.36,37.7,82.1,,1.0,0.8545,31.8,72.7,0.03,7.8,0.004,,
280185855,SE CANTANHEDE,TR 2,C 12931,2007-01-26,0.05,,6.9,6.6,1.0,130.0,53.1,54.9,1.36,33.4,71.2,,1.0,0.8546,29.2,63.7,0.013,9.7,0.004,,
280185855,SE CANTANHEDE,TR 2,C 12931,2008-02-01,0.05,,6.4,2.6,2.7,65.6,33.6,43.3,1.14,32.6,67.6,,1.0,0.8547,30.0,87.8,0.006,7.6,0.004,,
280185855,SE CANTANHEDE,TR 2,C 12931,2009-03-13,0.05,,6.7,2.6,8.3,26.4,15.3,37.6,1.11,33.0,68.4,,1.0,0.8546,30.9,30.4,0.001,25.6,0.006,,
280185855,SE CANTANHEDE,TR 2,C 12931,2010-01-05,0.05,,2.7,2.3,4.5,15.9,8.4,46.7,1.14,36.3,79.9,,1.0,0.8546,30.4,65.8,0.006,6.3,0.005,,
280185855,SE CANTANHEDE,TR 2,C 12931,2011-06-16,0.05,,6.4,3.2,3.2,29.4,7.8,56.4,1.35,33.9,68.4,,1.0,0.8512,30.6,55.6,0.009,11.9,0.007,,
280185855,SE CANTANHEDE,TR 2,C 12931,2012-01-26,0.05,,4.9,2.9,2.7,41.7,10.0,34.2,1.22,32.6,72.4,,1.0,0.8513,30.4,63.1,0.019,9.1,0.006,,
280185855,SE CANTANHEDE,TR 2,C 12931,2013-02-05,0.05,,3.3,3.2,3.2,52.0,11.4,24.4,1.05,30.6,68.6,,1.0,0.8512,28.4,80.2,0.004,5.8,0.008,,
280185855,SE CANTANHEDE,TR 2,C 12931,2014-06-06,0.05,,4.2,2.9,2.8,56.4,15.1,22.6,1.0,30.6,67.4,,1.0,0.8512,28.6,96.8,0.008,4.7,0.005,,
280185855,SE CANTANHEDE,TR 2,C 12931,2017-08-23,0.05,Papel normal,5.0,4.0,6.0,43.0,11.0,29.0,1.0,30.6,67.0,Estado normal,1.0,0.8512,29.0,81.0,0.02,7.0,0.006,Conforme.,"Nova colheita com periodicidade pré-estabelecida. Passivação, regeneração ou substituição total do óleo."
280185855,SE CANTANHEDE,TR 2,C 12931,2018-08-09,0.05,Papel normal,2.0,2.0,3.0,37.0,9.0,21.0,1.0,32.2,73.8,Estado normal,1.0,0.8512,29.0,98.0,0.02,11.0,0.007,Conforme.,Nova colheita com periodicidade pré-estabelecida
280185855,SE CANTANHEDE,TR 2,C 12931,2019-07-25,0.05,Papel normal,5.0,3.0,4.0,36.0,12.0,31.0,1.0,32.9,69.0,Estado normal,1.0,0.8512,30.0,86.0,0.02,7.0,0.006,Conforme.,Nova colheita com periodicidade pré-estabelecida
280185855,SE CANTANHEDE,TR 2,C 12931,2020-07-28,0.05,Papel normal,8.0,3.0,2.0,37.0,14.0,31.0,1.0,30.2,62.4,Estado normal,1.0,0.8512,29.0,81.0,0.02,6.0,0.011,Conforme.,Nova colheita com periodicidade pré-estabelecida
280185856,SE ALFARELOS,TR 1,LEL 44037,1996-05-27,,,2.0,1.0,1.0,1.0,1.0,56.0,1.0,31.8,69.3,,0.5,0.846,40.2,83.9,0.01,10.2,0.005,,
280185856,SE ALFARELOS,TR 1,LEL 44037,1997-04-02,,,2.0,1.0,1.0,1.0,1.0,53.0,1.0,29.2,66.6,,,,,,,6.6,,,
280185856,SE ALFARELOS,TR 1,LEL 44037,1998-06-19,0.05,,15.0,12.0,1.0,1.3,69.0,89.0,1.1,3.0,77.0,,1.0,0.849,26.9,95.3,0.006,8.3,0.019,,
280185856,SE ALFARELOS,TR 1,LEL 44037,1999-10-20,0.05,,43.0,5.3,1.0,1.8,46.0,136.0,1.7,17.0,86.0,,1.5,0.849,24.6,87.3,0.024,6.7,0.012,,
280185856,SE ALFARELOS,TR 1,LEL 44037,2000-09-08,0.05,,50.0,3.8,1.2,2.4,27.0,147.0,1.4,12.0,56.0,,1.5,0.847,23.9,85.4,0.03,3.7,0.012,,
280185856,SE ALFARELOS,TR 1,LEL 44037,2001-10-16,0.05,,85.0,4.7,1.0,1.1,21.0,273.0,2.96,17.0,77.0,,1.5,0.847,19.4,82.6,0.054,8.7,0.024,,
280185856,SE ALFARELOS,TR 1,LEL 44037,2002-09-11,0.05,,95.6,4.0,1.0,2.7,14.3,263.9,3.37,17.8,75.6,,1.5,0.846,18.0,77.3,0.086,6.1,0.02,,
280185856,SE ALFARELOS,TR 1,LEL 44037,2003-06-25,0.05,,118.2,4.4,1.0,1.0,11.8,256.0,2.82,19.1,71.7,,2.0,0.85,18.0,76.7,0.074,8.3,0.018,,
280185856,SE ALFARELOS,TR 1,LEL 44037,2004-07-13,0.05,,68.3,3.8,1.1,3.4,7.4,240.0,3.7,25.4,82.1,,2.0,0.85,17.5,40.4,0.129,13.9,0.015,,
280185856,SE ALFARELOS,TR 1,LEL 44037,2005-04-12,0.05,,34.3,4.3,1.0,1.0,8.0,163.8,3.21,27.7,73.8,,2.0,0.8519,17.2,47.3,0.1,7.7,0.022,,
280185856,SE ALFARELOS,TR 1,LEL 44037,2006-02-24,0.05,,28.3,4.6,1.0,1.0,6.4,178.0,3.83,31.7,78.6,,2.0,0.8519,17.4,69.9,0.118,12.2,0.023,,
280185856,SE ALFARELOS,TR 1,LEL 44037,2007-01-24,0.05,,28.3,5.1,1.0,2.4,5.4,217.1,4.17,31.6,79.2,,2.0,0.852,16.8,46.4,0.09,14.1,0.022,,
280185856,SE ALFARELOS,TR 1,LEL 44037,2008-01-31,0.05,,18.2,5.0,1.0,4.7,4.8,171.7,3.81,28.7,69.3,,2.5,0.852,16.4,96.5,0.093,5.6,0.034,,
280185856,SE ALFARELOS,TR 1,LEL 44037,2009-03-13,0.05,,11.4,3.2,1.0,2.1,3.8,130.8,3.44,29.4,69.3,,2.5,0.852,16.4,92.1,0.152,5.4,0.037,,
280185856,SE ALFARELOS,TR 1,LEL 44037,2010-03-01,0.05,,9.7,3.6,1.0,1.2,3.4,137.4,3.51,33.5,74.2,,2.5,0.852,16.9,96.7,0.102,6.4,0.059,,
280185856,SE ALFARELOS,TR 1,LEL 44037,2011-06-17,0.05,,19.3,3.8,1.0,1.5,3.0,197.1,3.52,31.7,73.4,,2.5,0.8486,16.8,92.7,0.114,6.3,0.044,,
280185856,SE ALFARELOS,TR 1,LEL 44037,2012-05-28,0.05,,8.8,3.9,1.0,4.3,3.6,120.8,2.84,25.4,62.3,,2.5,0.8487,16.7,89.4,0.128,5.1,0.061,,
280185856,SE ALFARELOS,TR 1,LEL 44037,2013-04-19,0.05,,7.8,6.2,1.0,19.7,5.0,87.1,2.51,27.0,57.8,,2.5,0.8487,17.2,69.2,0.117,5.2,0.042,,
280185856,SE ALFARELOS,TR 1,LEL 44037,2013-09-06,0.05,,13.6,7.3,1.0,24.1,6.5,224.0,3.23,22.7,66.6,,,,,,,,,,
280185856,SE ALFARELOS,TR 1,LEL 44037,2014-01-08,0.05,,,,,,,,,,,,2.5,0.8486,15.7,80.4,0.157,4.9,0.032,,
280185856,SE ALFARELOS,TR 1,LEL 44037,2014-02-18,0.05,,2.5,1.7,1.0,1.1,1.0,12.9,1.0,7.4,20.4,,1.5,0.8504,34.7,93.1,0.006,5.6,0.007,,
280185856,SE ALFARELOS,TR 1,LEL 44037,2014-06-06,,,,,,,,,,,,,,,34.9,,0.028,,0.006,,
280185856,SE ALFARELOS,TR 1,LEL 44037,2014-06-30,0.05,,4.3,6.2,1.0,16.1,2.4,76.7,1.15,27.2,63.2,,1.5,0.8504,33.4,80.9,0.019,3.7,0.005,,
280185856,SE ALFARELOS,TR 1,LEL 44037,2016-07-27,0.05,Papel normal,3.0,38.0,1.0,219.0,31.0,109.0,2.17,28.7,63.9,Defeito térmico de elevada temperatura,1.5,0.8504,31.0,79.0,0.02,4.0,0.008,Conforme.,Nova colheita dentro de cerca de 3 meses
280185856,SE ALFARELOS,TR 1,LEL 44037,2016-10-14,,,11.0,41.0,1.0,253.0,35.0,121.0,2.12,31.5,70.7,Defeito térmico de elevada temperatura,,,,96.0,,3.0,,Conforme.,Nova colheita dentro de cerca de 6 meses
280185856,SE ALFARELOS,TR 1,LEL 44037,2017-08-21,0.05,Papel normal,10.0,50.0,2.0,312.0,45.0,116.0,1.94,28.5,63.6,Defeito térmico de elevada temperatura,1.5,0.8504,29.0,42.0,0.02,3.0,0.007,Conforme.,Nova colheita dentro de cerca de 6 meses
280185856,SE ALFARELOS,TR 1,LEL 44037,2018-03-23,,,11.0,55.0,3.0,439.0,59.0,72.0,1.76,29.7,67.8,Defeito térmico de elevada temperatura,,,,89.0,,4.0,,Conforme.,Nova colheita dentro de cerca de 6 meses
280185856,SE ALFARELOS,TR 1,LEL 44037,2018-09-27,0.05,Papel normal,4.0,34.0,2.0,326.0,49.0,160.0,2.25,28.8,67.6,Defeito térmico de elevada temperatura,1.5,0.8504,30.0,39.0,0.02,4.0,0.01,Conforme.,Nova colheita dentro de cerca de 6 meses.
280185856,SE ALFARELOS,TR 1,LEL 44037,2019-06-04,,,7.0,60.0,4.0,477.0,71.0,83.0,2.06,32.2,68.4,Defeito térmico de elevada temperatura,,,,68.0,,4.0,,Conforme.,Nova colheita dentro de cerca de 6 meses.
280185856,SE ALFARELOS,TR 1,LEL 44037,2019-08-29,0.05,Papel normal,8.0,45.0,4.0,442.0,63.0,129.0,2.24,31.6,67.4,Defeito térmico de elevada temperatura,1.5,0.8503,30.0,71.0,0.02,5.0,0.007,Conforme.,Nova colheita dentro de cerca de 6 meses.
280185856,SE ALFARELOS,TR 1,LEL 44037,2020-02-03,,,10.0,79.0,3.0,608.0,82.0,101.0,2.18,33.5,70.2,Defeito térmico de elevada temperatura,,,,53.0,,3.0,,Conforme.,Nova colheita dentro de cerca de 6 meses.
280185856,SE ALFARELOS,TR 1,LEL 44037,2020-08-12,0.05,Papel normal,8.0,99.0,4.0,893.0,118.0,110.0,2.37,29.7,63.2,Defeito térmico de elevada temperatura,2.0,0.8504,30.0,78.0,0.02,4.0,0.008,Conforme.,Nova colheita dentro de cerca de 3 meses.
280185857,SE PAMPILHOSA,TR 1,19350 C,1996-09-04,,,19.0,3.0,17.0,35.0,10.0,95.0,2.0,11.2,57.2,,2.5,0.852,25.4,42.8,0.023,24.4,0.016,,
280185857,SE PAMPILHOSA,TR 1,19350 C,1997-04-02,0.05,,8.0,3.0,17.0,40.0,11.0,76.0,1.9,16.4,60.1,,3.0,0.852,24.0,70.1,0.015,23.2,0.015,,
280185857,SE PAMPILHOSA,TR 1,19350 C,1998-06-17,0.05,,97.0,8.4,3.6,55.0,25.0,201.0,3.2,8.2,79.0,,3.0,0.851,23.8,34.7,0.047,35.4,0.016,,
280185857,SE PAMPILHOSA,TR 1,19350 C,1999-10-20,0.13,,14.0,9.1,4.2,35.0,24.0,188.0,3.57,20.0,79.0,,3.5,0.854,20.1,48.3,0.057,31.4,0.024,,
280185857,SE PAMPILHOSA,TR 1,19350 C,2000-09-05,0.06,,55.0,7.6,3.2,27.0,15.0,294.0,4.66,15.0,71.0,,4.0,0.852,20.4,37.4,0.057,48.0,0.027,,
280185857,SE PAMPILHOSA,TR 1,19350 C,2001-10-18,0.35,,48.0,11.0,7.4,41.0,13.0,407.0,7.05,17.0,79.0,,4.5,0.853,17.1,40.8,0.13,56.2,0.024,,
280185857,SE PAMPILHOSA,TR 1,19350 C,2002-09-19,0.91,,24.0,38.2,7.7,168.0,21.3,265.3,4.31,16.1,63.5,,4.5,0.851,17.3,15.3,0.143,61.3,0.022,,
280185857,SE PAMPILHOSA,TR 1,19350 C,2003-04-16,0.6,,67.9,96.8,20.2,543.9,77.4,397.0,4.23,13.1,55.2,,4.5,0.85,17.4,23.7,0.128,53.6,0.023,,
280185857,SE PAMPILHOSA,TR 1,19350 C,2003-11-24,0.05,,1.8,1.0,1.0,1.0,1.0,24.7,1.0,20.6,49.0,,0.5,0.87,39.4,60.8,0.002,4.5,0.002,,
280185857,SE PAMPILHOSA,TR 1,19350 C,2004-07-15,0.05,,10.8,9.7,2.3,20.4,3.3,72.6,1.14,28.8,69.5,,0.5,0.869,36.9,56.4,0.012,8.8,0.003,,
280185857,SE PAMPILHOSA,TR 1,19350 C,2005-04-15,0.05,,10.1,15.1,9.4,58.6,8.3,56.8,1.37,33.5,69.7,,0.5,0.8706,37.1,56.9,0.014,8.3,0.003,,
280185857,SE PAMPILHOSA,TR 1,19350 C,2006-02-22,0.05,,11.9,12.1,15.0,61.8,10.0,57.2,1.75,35.2,73.9,,0.5,0.8707,35.2,76.9,0.024,11.0,0.003,,
280185857,SE PAMPILHOSA,TR 1,19350 C,2007-01-26,0.05,,12.9,27.6,21.0,119.8,18.4,59.3,1.84,34.4,72.7,,0.5,0.8706,30.4,70.2,0.006,5.9,0.002,,
280185857,SE PAMPILHOSA,TR 1,19350 C,2008-02-01,0.05,,13.1,29.8,20.2,143.1,23.3,49.6,1.53,32.2,67.3,,0.5,0.8707,35.9,53.1,0.006,10.2,0.003,,
280185857,SE PAMPILHOSA,TR 1,19350 C,2008-08-28,,,4.7,16.4,17.9,113.9,23.8,69.7,1.52,30.0,61.3,,,,,,,,,,
280185857,SE PAMPILHOSA,TR 1,19350 C,2009-03-12,0.06,,5.6,21.2,16.9,122.7,21.1,35.0,1.27,32.6,67.4,,0.5,0.8706,35.6,42.0,0.001,12.3,0.002,,
